rank,lemma,pos,frequency,article,gender,genitive,plural,auxiliary,past_3sg,participle_ii,translation,cefr,theme
774,erlauben,VERB,12831,,,,,haben,erlaubte,erlaubt,to allow,A2,common_verbs
775,Anfang,NOUN,12784,der,m,Anfangs,Anfänge,,,,the beginning,A2,time
776,wählen,VERB,12756,,,,,haben,wählte,gewählt,to choose,A1,common_verbs
777,erinnern,VERB,12746,,,,,haben,erinnerte,erinnert,to remember,A2,emotions
778,fahren,VERB,12721,,,,,sein,fuhr,gefahren,to drive,A1,travel
779,antun,VERB,12718,,,,,haben,tat an,angetan,to do to someone,B1,common_verbs
780,Feind,NOUN,12682,der,m,Feindes,Feinde,,,,the enemy,B1,communication
781,helfen,VERB,12662,,,,,haben,half,geholfen,to help,A1,common_verbs
782,toll,ADJ,12643,,,,,,,,great,A2,common_adjectives
783,mancher,PRON,12609,,,,,,,,many a,A2,function_words
784,schön,NOUN,12585,das,n,Schönen,Schönen,,,,the beautiful,B2,common_adjectives
785,Arm,NOUN,12576,der,m,Armes,Arme,,,,the arm,A1,body_health
786,hoch,ADJ,12562,,,,,,,,high,A1,common_adjectives
787,Bier,NOUN,12543,das,n,Bieres,Biere,,,,the beer,A1,food_drink
788,annehmen,VERB,12540,,,,,haben,nahm an,angenommen,to accept,A2,common_verbs
789,Klappe,NOUN,12451,die,f,Klappe,Klappen,,,,the flap,B1,home
790,wirken,VERB,12450,,,,,haben,wirkte,gewirkt,to seem,B1,common_verbs
791,überraschen,VERB,12441,,,,,haben,überraschte,überrascht,to surprise,A2,emotions
792,süß,ADV,12416,,,,,,,,sweetly,A1,common_adjectives
793,herum,ADP,12404,,,,,,,,around,A2,function_words
794,Finger,ADV,12399,,,,,,,,finger,A1,body_health
795,der,PRON,12392,,,,,,,,the,A1,function_words
796,Rolle,NOUN,12375,die,f,Rolle,Rollen,,,,the role,A2,work
797,arm,ADV,12374,,,,,,,,poorly,A2,common_adjectives
798,Preis,NOUN,12336,der,m,Preises,Preise,,,,the price,A1,money
799,Hochzeit,NOUN,12310,die,f,Hochzeit,Hochzeiten,,,,the wedding,A2,family
800,kalt,ADV,12292,,,,,,,,coldly,A1,common_adjectives
801,wach,ADV,12280,,,,,,,,awake,A2,body_health
802,wozu,SCONJ,12270,,,,,,,,"why, for what purpose",B1,function_words
803,bieten,VERB,12257,,,,,haben,bot,geboten,to offer,A2,common_verbs
804,planen,VERB,12213,,,,,haben,plante,geplant,to plan,A2,common_verbs
805,verzeihen,VERB,12206,,,,,haben,verzieh,verziehen,to forgive,B1,emotions
806,Boot,NOUN,12185,das,n,Bootes,Boote,,,,the boat,A1,travel
807,lösen,VERB,12179,,,,,haben,löste,gelöst,"to solve, to release",A2,common_verbs
808,verraten,VERB,12171,,,,,haben,verriet,verraten,"to betray, to reveal",B1,common_verbs
809,hoffentlich,ADV,12163,,,,,,,,hopefully,A2,function_words
810,müssen,VERB,12162,,,,,haben,musste,gemusst,"to must, to have to",A1,common_verbs
811,dürfen,AUX,12146,,,,,haben,durfte,gedurft,to be allowed to,A1,common_verbs
812,Zuhause,ADV,12137,,,,,,,,at home,A1,home
813,wunderbar,ADV,12104,,,,,,,,wonderful,A2,common_adjectives
814,behandeln,VERB,12078,,,,,haben,behandelte,behandelt,"to treat, to handle",A2,body_health
815,Firma,NOUN,12075,die,f,Firma,Firmen,,,,the company,A2,work
816,zwingen,VERB,12068,,,,,haben,zwang,gezwungen,to force,B1,common_verbs
817,Raum,NOUN,12059,der,m,Raumes,Räume,,,,"the room, the space",A1,home
818,feiern,VERB,12051,,,,,haben,feierte,gefeiert,to celebrate,A1,common_verbs
819,halten,VERB,12043,,,,,haben,hielt,gehalten,"to hold, to keep",A1,common_verbs
820,Reise,NOUN,12030,die,f,Reise,Reisen,,,,"the trip, the journey",A1,travel
821,Dame,NOUN,12010,die,f,Dame,Damen,,,,the lady,A1,family
822,Zug,NOUN,12006,der,m,Zuges,Züge,,,,the train,A1,travel
823,irgendwann,ADV,11991,,,,,,,,"sometime, eventually",A2,time
824,beschäftigen,VERB,11985,,,,,haben,beschäftigte,beschäftigt,"to occupy, to employ",B1,work
825,jedenfalls,ADV,11973,,,,,,,,"in any case, at least",B1,function_words
826,Einladen,VERB,11964,,,,,haben,lud ein,eingeladen,to invite,A1,communication
827,Rüber,ADV,11953,,,,,,,,over,A2,function_words
828,Rücken,VERB,11937,,,,,haben,rückte,gerückt,to move,B1,common_verbs
829,Tschüss,ADV,11927,,,,,,,,goodbye,A1,greetings
830,Nutzen,VERB,11926,,,,,haben,nutzte,genutzt,to use,A1,common_verbs
831,Wissen,VERB,11909,,,,,haben,wusste,gewusst,to know,A1,common_verbs
832,Reich,ADV,11880,,,,,,,,rich,A2,common_adjectives
833,Irgendetwas,PRON,11872,,,,,,,,something,A2,function_words
834,Richtung,NOUN,11870,die,f,Richtung,Richtungen,,,,the direction,A2,travel
835,Weile,NOUN,11866,die,f,Weile,Weilen,,,,the while,B1,time
836,Bisher,ADV,11864,,,,,,,,so far,A2,function_words
837,Seltsam,ADV,11842,,,,,,,,strange,B1,common_adjectives
838,Unbedingt,ADV,11830,,,,,,,,definitely,B1,function_words
839,Wütend,ADV,11824,,,,,,,,angry,A2,emotions
840,Ohr,NOUN,11815,das,n,Ohrs,Ohren,,,,the ear,A1,body_health
841,Wofür,SCONJ,11771,,,,,,,,what for,A2,function_words
842,Erzählen,VERB,11759,,,,,haben,erzählte,erzählt,to tell,A1,communication
843,Kontrolle,NOUN,11758,die,f,Kontrolle,Kontrollen,,,,the control,B1,work
844,Stöhnen,VERB,11746,,,,,haben,stöhnte,gestöhnt,to moan,B1,emotions
845,Beispiel,NOUN,11699,das,n,Beispiels,Beispiele,,,,the example,A1,education
846,Kontakt,NOUN,11680,der,m,Kontakts,Kontakte,,,,the contact,A2,communication
847,Gesetz,NOUN,11646,das,n,Gesetzes,Gesetze,,,,the law,B1,work
848,Müde,ADV,11612,,,,,,,,tired,A1,body_health
849,Magen,VERB,11603,,,,,haben,mochte,gemocht,to like,A1,common_verbs
850,Bekennen,ADV,11523,,,,,,,,confessedly,B2,communication
851,schnappen,VERB,11512,,,,,haben,schnappte,geschnappt,to snap,B1,common_verbs
852,treiben,VERB,11480,,,,,haben,trieb,getrieben,to drive,B1,common_verbs
853,leiden,VERB,11473,,,,,haben,litt,gelitten,to suffer,B1,emotions
854,Bank,NOUN,11462,die,f,Bank,Banken,,,,the bank,A2,money
855,Unfall,NOUN,11449,der,m,Unfalls,Unfälle,,,,the accident,A2,travel
856,dahin,ADV,11442,,,,,,,,there,B1,function_words
857,überzeugen,VERB,11420,,,,,haben,überzeugte,überzeugt,to convince,B1,communication
858,dasselbe,PRON,11414,,,,,,,,the same,B1,function_words
859,aufgeben,VERB,11412,,,,,haben,gab auf,aufgegeben,to give up,B1,common_verbs
860,Weise,NOUN,11381,die,f,Weise,Weisen,,,,the way,B1,function_words
861,Damen,NOUN,11371,die,f,Damen,Damen,,,,the ladies,A2,family
862,nett,ADJ,11360,,,,,,,,nice,A2,common_adjectives
863,darin,ADV,11359,,,,,,,,in it,B1,function_words
864,Gott,NOUN,11340,der,m,Gottes,Götter,,,,God,B1,emotions
865,Vorsicht,NOUN,11286,die,f,Vorsicht,Vorsichten,,,,the caution,B1,emotions
866,haben,VERB,11266,,,,,haben,hatte,gehabt,to have,A1,common_verbs
867,zumindest,ADV,11261,,,,,,,,at least,B1,function_words
868,Lage,NOUN,11222,die,f,Lage,Lagen,,,,the situation,B1,time
869,sowieso,ADV,11215,,,,,,,,anyway,B1,function_words
870,Kraft,ADP,11202,,,,,,,,by virtue of,B2,function_words
871,Lauf,NOUN,11188,der,m,Laufs,Läufe,,,,the course,B1,time
872,Ehre,NOUN,11187,die,f,Ehre,Ehren,,,,the honour,B1,emotions
873,stellen,VERB,11179,,,,,haben,stellte,gestellt,to place,A2,common_verbs
874,bar,ADV,11161,,,,,,,,in cash,B1,money
875,beobachten,VERB,11160,,,,,haben,beobachtete,beobachtet,to observe,B1,common_verbs
876,leisten,VERB,11159,,,,,haben,leistete,geleistet,to perform,B1,common_verbs
877,riechen,VERB,11152,,,,,haben,roch,gerochen,to smell,A2,body_health
878,Tasche,NOUN,11149,die,f,Tasche,Taschen,,,,the bag,A1,clothing
879,Hunger,NOUN,11083,der,m,Hungers,Hungern,,,,the hunger,A1,food_drink
880,legen,VERB,11081,,,,,haben,legte,gelegt,to lay,A1,common_verbs
881,Ben,PRON,11045,,,,,,,,Ben (proper name),A1,communication
882,landen,VERB,11029,,,,,sein,landete,gelandet,to land,A2,travel
883,gebären,VERB,11019,,,,,haben,gebar,geboren,to give birth,B1,body_health
884,enden,VERB,10999,,,,,haben,endete,geendet,to end,A2,common_verbs
885,traurig,ADV,10992,,,,,,,,sadly,A1,emotions
886,stehen,VERB,10978,,,,,haben,stand,gestanden,to stand,A1,common_verbs
887,Hoffnung,NOUN,10972,die,f,Hoffnung,Hoffnungen,,,,the hope,B1,emotions
888,Droge,NOUN,10964,die,f,Droge,Drogen,,,,the drug,B1,body_health
889,feuern,VERB,10958,,,,,haben,feuerte,gefeuert,to fire,B1,work
890,Kirche,NOUN,10946,die,f,Kirche,Kirchen,,,,the church,A2,home
891,kochen,VERB,10941,,,,,haben,kochte,gekocht,to cook,A1,food_drink
892,Flugzeug,NOUN,10926,das,n,Flugzeugs,Flugzeuge,,,,the aeroplane,A2,travel
893,besorgen,VERB,10904,,,,,haben,besorgte,besorgt,to get,B1,common_verbs
894,Liste,NOUN,10890,die,f,Liste,Listen,,,,the list,A2,education
895,interessant,ADV,10885,,,,,,,,interestingly,A2,common_adjectives
896,neben,ADP,10880,,,,,,,,beside,A1,function_words
897,schrecklich,ADV,10850,,,,,,,,terribly,A2,common_adjectives
898,angreifen,VERB,10844,,,,,haben,griff an,angegriffen,to attack,B1,common_verbs
899,schenken,VERB,10840,,,,,haben,schenkte,geschenkt,to give,A2,common_verbs
900,jagen,VERB,10836,,,,,haben,jagte,gejagt,to hunt,B1,nature
901,fürchten,VERB,10835,,,,,haben,fürchtete,gefürchtet,to fear,A2,emotions
902,warnen,VERB,10809,,,,,haben,warnte,gewarnt,to warn,B1,communication
903,verschwunden,ADJ,10769,,,,,,,,disappeared,B1,common_adjectives
904,Tante,NOUN,10757,die,f,Tante,Tanten,,,,the aunt,A1,family
905,Majestät,NOUN,10751,die,f,Majestät,Majestäten,,,,the majesty,B2,common_adjectives
906,derjenige,PRON,10723,,,,,,,,the one (who),B1,function_words
907,Wunder,NOUN,10720,das,n,Wunders,Wunder,,,,the miracle,A2,nature
908,sauer,ADV,10704,,,,,,,,sour,A2,food_drink
909,erwähnen,VERB,10695,,,,,haben,erwähnte,erwähnt,to mention,B1,communication
910,vermutlich,ADV,10690,,,,,,,,presumably,B1,function_words
911,raten,VERB,10650,,,,,haben,riet,geraten,to advise,B1,common_verbs
912,Gericht,NOUN,10612,das,n,Gerichts,Gerichte,,,,the court,B1,work
913,Patient,NOUN,10605,der,m,Patienten,Patienten,,,,the patient,A2,body_health
914,links,ADV,10601,,,,,,,,left,A1,function_words
915,trennen,VERB,10560,,,,,haben,trennte,getrennt,to separate,B1,common_verbs
916,wunderschön,ADV,10557,,,,,,,,wonderfully beautiful,B1,common_adjectives
917,klappen,VERB,10539,,,,,haben,klappte,geklappt,to work out,B1,common_verbs
918,atmen,VERB,10466,,,,,haben,atmete,geatmet,to breathe,A2,body_health
919,selber,ADV,10450,,,,,,,,myself,A2,function_words
920,zeugen,VERB,10449,,,,,haben,zeugte,gezeugt,to testify,B2,communication
921,Nase,NOUN,10443,die,f,Nase,Nasen,,,,the nose,A1,body_health
922,gewiss,ADJ,10441,,,,,,,,certain,B1,common_adjectives
923,Regierung,NOUN,10423,die,f,Regierung,Regierungen,,,,the government,B1,work
924,Geburtstag,NOUN,10417,der,m,Geburtstags,Geburtstage,,,,the birthday,A1,time
925,Professor,NOUN,10407,der,m,Professors,Professoren,,,,the professor,A2,education
926,Aufgabe,NOUN,10394,die,f,Aufgabe,Aufgaben,,,,the task,A1,education
927,schwarz,ADJ,10374,,,,,,,,black,A1,common_adjectives
928,packen,VERB,10365,,,,,haben,packte,gepackt,to pack,A1,travel
929,kennenlernen,VERB,10363,,,,,haben,lernte kennen,kennengelernt,to get to know,A1,communication
930,Anruf,NOUN,10355,der,m,Anrufs,Anrufe,,,,the call,A1,communication
931,Frieden,NOUN,10335,der,m,Friedens,Frieden,,,,the peace,B1,emotions
932,aufnehmen,VERB,10328,,,,,haben,nahm auf,aufgenommen,to record,B1,common_verbs
933,klingeln,VERB,10313,,,,,haben,klingelte,geklingelt,to ring,A2,communication
934,Güte,NOUN,10288,die,f,Güte,Güten,,,,the kindness,B2,emotions
935,diesmal,ADV,10282,,,,,,,,this time,A2,time
936,entdecken,VERB,10278,,,,,haben,entdeckte,entdeckt,to discover,A2,common_verbs
937,persönlich,ADV,10269,,,,,,,,personally,B1,communication
938,vorbereiten,VERB,10254,,,,,haben,bereitete vor,vorbereitet,to prepare,A2,common_verbs
939,erleben,VERB,10205,,,,,haben,erlebte,erlebt,to experience,B1,common_verbs
940,Sonne,NOUN,10157,die,f,Sonne,Sonnen,,,,the sun,A1,nature
941,nämlich,ADV,10147,,,,,,,,namely,B1,function_words
942,küssen,VERB,10138,,,,,haben,küsste,geküsst,to kiss,A2,emotions
943,beruhigen,VERB,10084,,,,,haben,beruhigte,beruhigt,to calm,B1,emotions
944,offensichtlich,ADV,10076,,,,,,,,obviously,B2,function_words
945,ewig,ADV,10062,,,,,,,,eternally,B2,time
946,Computer,NOUN,10052,der,m,Computers,Computer,,,,the computer,A1,technology
947,träumen,VERB,10048,,,,,haben,träumte,geträumt,to dream,A2,common_verbs
948,Yeah,ADV,10043,,,,,,,,yeah,A1,greetings
949,Ton,VERB,10039,,,,,haben,tonte,getont,to tone,B2,common_verbs
950,Weihnachten,AUX,10033,,,,,,,,Christmas,A1,time
951,Situation,NOUN,10018,die,f,Situation,Situationen,,,,the situation,B1,common_verbs
952,ergeben,VERB,10011,,,,,haben,ergab,ergeben,to result in,B1,common_verbs
953,wachsen,VERB,9997,,,,,sein,wuchs,gewachsen,to grow,A2,common_verbs
954,naja,ADV,9996,,,,,,,,"well, kind of",A2,communication
955,Armee,NOUN,9980,die,f,Armee,Armeen,,,,the army,B1,work
956,Fuß,NOUN,9974,der,m,Fußes,Füße,,,,the foot,A1,body_health
957,Zeitung,NOUN,9966,die,f,Zeitung,Zeitungen,,,,the newspaper,A2,communication
958,Überraschung,NOUN,9952,die,f,Überraschung,Überraschungen,,,,the surprise,A2,emotions
959,Geheimnis,NOUN,9948,das,n,Geheimnisses,Geheimnisse,,,,the secret,B1,communication
960,ausgehen,VERB,9908,,,,,sein,ging aus,ausgegangen,to go out,A2,common_verbs
961,Gold,NOUN,9897,das,n,Goldes,Golde,,,,the gold,A2,money
962,Akte,NOUN,9883,die,f,Akte,Akten,,,,the file,B1,work
963,kriegen,VERB,9878,,,,,haben,kriegte,gekriegt,to get,A1,common_verbs
964,befinden,VERB,9860,,,,,haben,befand,befunden,to be located,B1,common_verbs
965,ermorden,VERB,9850,,,,,haben,ermordete,ermordet,to murder,B1,common_verbs
966,lauten,VERB,9850,,,,,haben,lautete,gelautet,to be worded,B1,common_verbs
967,entfernt,ADV,9841,,,,,,,,"distantly, remotely",B1,common_adjectives
968,geraten,VERB,9841,,,,,sein,geriet,geraten,to get into,B1,common_verbs
969,Maschine,NOUN,9831,die,f,Maschine,Maschinen,,,,the machine,A2,technology
970,wahr,ADJ,9829,,,,,,,,true,A2,common_adjectives
971,zurückkommen,VERB,9812,,,,,sein,kam zurück,zurückgekommen,to come back,A2,common_verbs
972,mitbringen,VERB,9799,,,,,haben,brachte mit,mitgebracht,to bring along,A2,common_verbs
973,ran,ADV,9783,,,,,,,,"come on, let's go",A2,communication
974,gegenüber,ADP,9781,,,,,,,,"opposite, towards",B1,function_words
975,Lust,NOUN,9773,die,f,Lust,Lüste,,,,the desire,B1,emotions
976,witzig,ADV,9766,,,,,,,,wittily,B1,common_adjectives
977,Nick,NOUN,9757,der,m,Nicks,Nicks,,,,the nick,B2,common_adjectives
978,Gebäude,NOUN,9757,das,n,Gebäudes,Gebäude,,,,the building,A2,home
979,übrigens,ADV,9753,,,,,,,,by the way,B1,communication
980,willen,ADP,9752,,,,,,,,for the sake of,B1,function_words
981,Besuch,NOUN,9743,der,m,Besuchs,Besuche,,,,the visit,A2,communication
982,namens,ADV,9665,,,,,,,,named,B1,communication
983,Blick,NOUN,9627,der,m,Blicks,Blicke,,,,the look,B1,body_health
984,derselbe,PRON,9611,,,,,,,,the same,B1,function_words
985,Antwort,NOUN,9575,die,f,Antwort,Antworten,,,,the answer,A1,communication
986,sagtesen,ADV,9558,,,,,,,,supposedly,B2,communication
987,weiß,ADJ,9544,,,,,,,,white,A1,common_adjectives
988,gucken,VERB,9518,,,,,haben,guckte,geguckt,to look,A2,common_verbs
989,schmecken,VERB,9511,,,,,haben,schmeckte,geschmeckt,to taste,A2,food_drink
990,rechts,ADV,9509,,,,,,,,to the right,A1,travel
991,Gespräch,NOUN,9477,das,n,Gesprächs,Gespräche,,,,the conversation,A2,communication
992,schwierig,ADV,9475,,,,,,,,difficultly,A2,common_adjectives
993,miteinander,ADV,9474,,,,,,,,with each other,B1,communication
994,liebst,ADV,9465,,,,,,,,most gladly,B1,emotions
995,indem,SCONJ,9458,,,,,,,,by,B1,function_words
996,bleibst,ADV,9447,,,,,,,,you stay,A2,common_verbs
997,weder,CCONJ,9435,,,,,,,,neither,B1,function_words
998,heilig,ADJ,9430,,,,,,,,holy,B1,common_adjectives
999,kaputt,ADV,9429,,,,,,,,broken,A2,common_adjectives
1000,Gesellschaft,NOUN,9417,die,f,Gesellschaft,Gesellschaften,,,,the society,B1,work
1001,Vergangenheit,NOUN,9406,die,f,Vergangenheit,Vergangenheiten,,,,the past,B1,time
1002,Tee,NOUN,9380,der,m,Tees,Tees,,,,the tea,A1,food_drink
1003,Freude,NOUN,9372,die,f,Freude,Freuden,,,,the joy,A2,emotions
1004,entweder,CCONJ,9358,,,,,,,,either,A2,function_words
1005,dritter,ADJ,9347,,,,,,,,third,A1,numbers
1006,Detective,NOUN,9333,der,m,Detectives,Detectives,,,,the detective,B1,work
1007,Gruppe,NOUN,9329,die,f,Gruppe,Gruppen,,,,the group,A1,common_adjectives
1008,irgendwelcher,PRON,9305,,,,,,,,any,B1,function_words
1009,Versprechen,NOUN,9304,das,n,Versprechens,Versprechen,,,,the promise,B1,communication
1010,ankommen,VERB,9291,,,,,sein,kam an,angekommen,to arrive,A1,common_verbs
1011,sauber,ADV,9286,,,,,,,,clean,A1,common_adjectives
1012,hauen,VERB,9269,,,,,haben,hieb,gehauen,to hit,B1,common_verbs
1013,Mark,NOUN,9243,die,f,Mark,Mark,,,,the mark,B1,money
1014,Schlag,NOUN,9240,der,m,Schlags,Schläge,,,,the blow,B1,common_verbs
1015,Untertitel,NOUN,9224,der,m,Untertitels,Untertitel,,,,the subtitle,B1,technology
1016,fragen,VERB,9220,,,,,haben,fragte,gefragt,to ask,A1,common_verbs
1017,Schicksal,NOUN,9218,das,n,Schicksals,Schicksale,,,,the fate,B1,emotions
1018,nervös,ADV,9217,,,,,,,,nervous,A2,emotions
1019,schuldig,ADV,9210,,,,,,,,guilty,B1,emotions
1020,danken,VERB,9198,,,,,haben,dankte,gedankt,to thank,A1,common_verbs
1021,Flasche,NOUN,9183,die,f,Flasche,Flaschen,,,,the bottle,A1,food_drink
1022,reisen,VERB,9129,,,,,sein,reiste,gereist,to travel,A1,travel
1023,erscheinen,VERB,9127,,,,,sein,erschien,erschienen,to appear,B1,common_verbs
1024,Kugel,NOUN,9116,die,f,Kugel,Kugeln,,,,the ball,B1,sports
1025,furchtbar,ADV,9111,,,,,,,,terrible,A2,common_adjectives
1026,klauen,VERB,9069,,,,,haben,klaute,geklaut,to steal,B1,common_verbs
1027,Zeichen,NOUN,9068,das,n,Zeichens,Zeichen,,,,the sign,A2,communication
1028,Adresse,NOUN,9063,die,f,Adresse,Adressen,,,,the address,A1,communication
1029,Richter,NOUN,9061,der,m,Richters,Richter,,,,the judge,B1,work
1030,springen,VERB,9060,,,,,sein,sprang,gesprungen,to jump,A2,common_verbs
1031,besorgen,ADV,9058,,,,,,,,to obtain,B1,common_verbs
1032,Küche,NOUN,9052,die,f,Küche,Küchen,,,,the kitchen,A1,home
1033,ehren,VERB,9041,,,,,haben,ehrte,geehrt,to honor,B2,emotions
1034,verbinden,VERB,9031,,,,,haben,verband,verbunden,to connect,B1,common_verbs
1035,vergnügen,VERB,9016,,,,,haben,vergnügte,vergnügt,to please,B2,emotions
1036,wüssen,AUX,9010,,,,,haben,wüsste,gewusst,would know,B1,common_verbs
1037,Volk,NOUN,9006,das,n,Volkes,Völker,,,,the people,B1,nature
1038,streiten,VERB,9000,,,,,haben,stritt,gestritten,to argue,B1,communication
1039,aufpassen,VERB,8996,,,,,haben,passte auf,aufgepasst,to pay attention,A2,common_verbs
1040,Königin,NOUN,8987,die,f,Königin,Königinnen,,,,the queen,B1,family
1041,verhalten,VERB,8984,,,,,haben,verhielt,verhalten,to behave,B2,common_verbs
1042,Dienst,NOUN,8962,der,m,Dienstes,Dienste,,,,the service,B1,work
1043,allerdings,ADV,8953,,,,,,,,however,B1,function_words
1044,soweit,ADV,8928,,,,,,,,so far,B1,function_words
1045,Bord,NOUN,8915,der,m,Bordes,Börde,,,,the board,B2,travel
1046,Grenze,NOUN,8908,die,f,Grenze,Grenzen,,,,the border,B1,travel
1047,Billy,NOUN,8897,der,m,Billys,Billys,,,,Billy,A1,family
1048,fühlen,VERB,8854,,,,,haben,fühlte,gefühlt,to feel,A2,emotions
1049,trauen,VERB,8839,,,,,haben,traute,getraut,to dare,B1,emotions
1050,worauf,SCONJ,8837,,,,,,,,whereupon,B2,function_words
1051,gelten,VERB,8825,,,,,haben,galt,gegolten,"to be valid, to count",B1,common_verbs
1052,Kamera,NOUN,8821,die,f,Kamera,Kameras,,,,the camera,A2,technology
1053,Achtung,NOUN,8811,die,f,Achtung,Achtungen,,,,"the attention, respect",B1,communication
1054,Angriff,NOUN,8799,der,m,Angriffs,Angriffe,,,,the attack,B1,common_verbs
1055,Schuh,NOUN,8795,der,m,Schuhs,Schuhe,,,,the shoe,A1,clothing
1056,unterhalten,VERB,8791,,,,,haben,unterhielt,unterhalten,"to entertain, to maintain",B1,common_verbs
1057,untersuchen,VERB,8782,,,,,haben,untersuchte,untersucht,"to examine, to investigate",B1,common_verbs
1058,Glückwunsch,NOUN,8778,der,m,Glückwunschs,Glückwünsche,,,,the congratulation,B1,greetings
1059,geben,VERB,8777,,,,,haben,gab,gegeben,to give,A1,common_verbs
1060,statt,SCONJ,8774,,,,,,,,instead of,B1,function_words
1061,Interesse,NOUN,8772,das,n,Interesses,Interessen,,,,the interest,A2,education
1062,drücken,VERB,8771,,,,,haben,drückte,gedrückt,"to press, to squeeze",B1,common_verbs
1063,Monster,NOUN,8763,das,n,Monsters,Monster,,,,the monster,A2,emotions
1064,Haar,NOUN,8760,das,n,Haares,Haare,,,,the hair,A1,body_health
1065,auftauchen,VERB,8757,,,,,sein,tauchte auf,aufgetaucht,"to appear, to surface",B1,common_verbs
1066,Gegend,NOUN,8754,die,f,Gegend,Gegenden,,,,"the region, area",B1,travel
1067,Wald,NOUN,8752,der,m,Waldes,Wälder,,,,the forest,A2,nature
1068,nehmen,VERB,8729,,,,,haben,nahm,genommen,to take,A1,common_verbs
1069,entkommen,VERB,8728,,,,,sein,entkam,entkommen,to escape,B1,common_verbs
1070,Messer,NOUN,8726,das,n,Messers,Messer,,,,the knife,A1,food_drink
1071,Position,NOUN,8717,die,f,Position,Positionen,,,,the position,B1,work
1072,Glas,NOUN,8710,das,n,Glases,Gläser,,,,the glass,A1,food_drink
1073,verantwortlich,ADJ,8704,,,,,,,,responsible,B1,common_adjectives
1074,bemerken,VERB,8702,,,,,haben,bemerkte,bemerkt,"to notice, to remark",B1,common_verbs
1075,beeilen,VERB,8698,,,,,haben,beeilte,beeilt,to hurry,B1,common_verbs
1076,Jesus,CCONJ,8675,,,,,,,,Jesus,A1,communication
1077,herein,ADV,8674,,,,,,,,"in, come in",A2,function_words
1078,Kleid,NOUN,8663,das,n,Kleids,Kleider,,,,the dress,A1,clothing
1079,Kunde,NOUN,8657,der,m,Kunden,Kunden,,,,the customer,A2,work
1080,jawohl,ADV,8647,,,,,,,,yes indeed,B1,communication
1081,essen,VERB,8640,,,,,haben,aß,gegessen,to eat,A1,food_drink
1082,Abendessen,NOUN,8629,das,n,Abendessens,Abendessen,,,,the dinner,A1,food_drink
1083,behaupten,VERB,8626,,,,,haben,behauptete,behauptet,to claim,B1,communication
1084,gemeinsam,ADV,8615,,,,,,,,together,A2,common_adjectives
1085,Ehemann,NOUN,8608,der,m,Ehemanns,Ehemänner,,,,the husband,A1,family
1086,bestellen,VERB,8590,,,,,haben,bestellte,bestellt,to order,A2,work
1087,Schritt,NOUN,8587,der,m,Schritts,Schritte,,,,the step,B1,common_verbs
1088,gucken,VERB,8577,,,,,haben,guckte,geguckt,to look,A2,common_verbs
1089,nah,ADP,8576,,,,,,,,near,A1,function_words
1090,Band,NOUN,8567,das,n,Bandes,Bänder,,,,the band/ribbon,A2,music
1091,ungefähr,ADV,8567,,,,,,,,approximately,A2,function_words
1092,verwenden,VERB,8554,,,,,haben,verwendete,verwendet,to use,B1,common_verbs
1093,drinnen,ADV,8545,,,,,,,,inside,A2,function_words
1094,klopfen,VERB,8545,,,,,haben,klopfte,geklopft,to knock,B1,common_verbs
1095,zuvor,ADV,8539,,,,,,,,"before, previously",B1,time
1096,Staat,NOUN,8522,der,m,Staates,Staaten,,,,the state,B1,work
1097,übrig,ADP,8515,,,,,,,,"left, remaining",B1,function_words
1098,Erfolg,NOUN,8515,der,m,Erfolgs,Erfolge,,,,the success,B1,work
1099,decken,VERB,8514,,,,,haben,deckte,gedeckt,to cover,B1,common_verbs
1100,übel,ADV,8509,,,,,,,,"badly, unwell",B1,body_health
1101,fliehen,VERB,8509,,,,,sein,floh,geflohen,to flee,B1,common_verbs
1102,Sergeant,VERB,8499,,,,,,,,sergeant,B2,work
1103,rauchen,VERB,8472,,,,,haben,rauchte,geraucht,to smoke,A2,common_verbs
1104,Angebot,NOUN,8460,das,n,Angebots,Angebote,,,,the offer,B1,work
1105,bestätigen,VERB,8443,,,,,haben,bestätigte,bestätigt,to confirm,B1,common_verbs
1106,Schwierigkeit,NOUN,8439,die,f,Schwierigkeit,Schwierigkeiten,,,,the difficulty,B1,education
1107,Respekt,NOUN,8435,der,m,Respekts,Respekte,,,,the respect,B1,emotions
1108,Mission,NOUN,8408,die,f,Mission,Missionen,,,,the mission,B2,work
1109,verdammen,VERB,8398,,,,,haben,verdammte,verdammt,to damn,B2,common_verbs
1110,brauchen,VERB,8391,,,,,haben,brauchte,gebraucht,to need,A1,common_verbs
1111,solcher,PRON,8380,,,,,,,,such,B1,function_words
1112,wissen,VERB,8376,,,,,haben,wusste,gewusst,to know,A1,common_verbs
1113,vorne,ADV,8371,,,,,,,,in front,A1,function_words
1114,Stopp,NOUN,8367,der,m,Stopps,Stopps,,,,the stop,A2,travel
1115,Schlampe,NOUN,8361,die,f,Schlampe,Schlampen,,,,the slut,C1,communication
1116,Unsinn,NOUN,8340,der,m,Unsinns,Unsinn,,,,the nonsense,B1,communication
1117,gesund,ADV,8331,,,,,,,,healthy,A1,body_health
1118,verbrennen,VERB,8328,,,,,haben,verbrannte,verbrannt,to burn,B1,common_verbs
1119,pro,ADP,8322,,,,,,,,per,B1,function_words
